"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",2,2,1,2,2,4,2,2,2,2,2,2,4,4,4,4,2,2,4,4
"2",2,2,3,3,4,2,3,2,2,4,3,4,2,4,2,3,2,4,2,2
"3",5,4,3,3,1,4,2,4,4,1,3,3,4,4,3,5,1,3,5,3
"4",2,4,2,2,2,3,2,4,4,2,1,3,2,1,2,4,5,4,5,3
"5",3,4,1,3,4,1,2,4,4,1,1,3,4,4,4,4,2,NA,4,4
"6",3,3,1,3,2,4,1,3,4,1,1,1,4,1,5,4,5,1,2,3
"7",3,2,2,5,4,4,3,1,3,2,3,2,4,3,4,4,2,4,5,4
"8",1,1,1,1,1,5,5,5,5,1,1,1,5,5,5,4,1,5,1,1
"9",2,4,1,4,5,5,3,4,4,2,1,3,4,4,2,4,4,4,4,4
"10",2,2,1,2,3,4,2,4,4,2,2,2,4,2,4,4,4,3,4,3
"11",1,1,1,1,4,1,1,4,4,1,1,1,4,1,4,4,5,5,2,4
"12",1,1,1,3,1,1,2,3,5,1,1,2,2,4,4,2,2,5,2,2
"13",2,4,1,1,1,5,1,5,4,1,1,1,5,1,3,5,5,5,1,4
"14",4,4,2,1,1,2,1,5,5,1,1,1,4,1,5,5,5,5,1,5
"15",4,2,1,1,1,2,1,4,5,1,1,1,5,1,5,1,4,5,1,1
"16",5,4,2,3,5,4,4,3,1,1,1,5,2,4,4,4,5,4,4,4
"17",1,5,1,3,1,4,1,2,3,1,1,4,4,2,2,1,2,4,1,4
"18",4,4,1,2,2,1,1,4,1,1,2,2,3,5,2,3,1,3,2,5
"19",3,2,1,4,1,2,1,4,2,1,1,1,4,1,5,3,2,5,4,3
"20",2,3,1,2,1,3,1,3,1,1,1,3,3,4,2,1,1,3,3,4
"21",3,2,1,5,1,1,1,1,2,2,1,2,4,1,4,1,5,4,2,2
"22",4,4,2,2,4,4,1,3,2,1,1,3,4,3,4,4,3,2,4,4
"23",2,2,1,2,4,4,1,4,4,1,1,1,4,4,4,4,4,2,4,4
"24",5,5,1,3,4,2,2,2,2,1,2,2,3,3,4,3,2,3,3,3
"25",3,5,1,3,4,2,1,3,3,1,1,5,3,5,3,3,2,4,2,4
"26",5,5,1,2,3,4,2,4,5,1,1,2,4,4,4,4,2,4,2,4
"27",2,2,1,2,2,5,2,2,2,1,1,3,4,4,4,5,5,2,4,5
"28",4,2,1,4,1,4,1,4,1,1,1,2,4,3,3,4,5,4,4,3
"29",5,5,1,4,3,4,2,1,2,1,1,4,4,4,4,5,4,2,4,4
"30",1,2,1,3,1,2,1,3,3,1,1,1,4,1,4,3,5,3,3,3
"31",2,2,1,1,3,3,1,5,5,1,1,2,4,4,5,3,4,5,4,3
"32",4,2,1,1,3,4,2,5,3,1,1,2,5,3,4,3,4,4,4,3
"33",3,3,1,1,2,2,2,5,4,1,1,1,4,2,3,1,3,4,3,3
"34",1,1,1,1,4,1,1,5,4,1,1,1,5,1,5,1,5,5,1,1
"35",3,3,1,4,5,4,5,5,5,1,5,4,1,5,1,5,5,4,5,5
"36",4,3,1,3,1,5,4,2,2,1,2,4,3,2,4,4,5,1,3,4
"37",4,3,2,4,3,4,4,2,3,2,3,3,2,3,3,4,2,3,3,4
"38",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"39",4,4,2,4,2,2,1,2,4,2,1,2,4,4,4,2,2,2,2,2
"40",1,1,1,4,1,2,1,1,4,1,3,2,2,1,3,1,5,2,1,3
"41",4,2,4,4,4,4,4,2,1,3,NA,4,2,4,1,5,2,2,4,4
"42",1,5,1,3,3,1,2,3,5,1,1,1,4,4,4,4,5,4,2,2
"43",2,2,1,2,4,4,1,4,5,1,1,1,4,1,3,2,4,4,2,2
"44",2,3,1,3,3,2,2,4,4,1,1,2,4,2,4,2,2,3,2,4
"45",5,5,1,4,3,4,3,2,1,1,1,1,3,1,3,2,5,5,5,3
"46",4,2,1,1,2,2,3,4,3,1,1,2,4,1,4,1,5,4,1,2
"47",4,5,1,4,1,2,2,2,2,1,1,2,4,4,4,4,5,4,2,4
"48",3,2,2,3,2,2,2,3,3,1,1,4,3,3,3,2,4,4,3,2
"49",2,2,4,2,1,5,4,2,2,2,1,1,5,2,4,4,2,3,2,3
"50",1,5,2,1,4,5,2,5,5,5,2,4,3,1,4,5,5,3,5,2
"51",4,1,1,4,5,5,2,4,5,1,1,4,5,4,4,1,5,5,2,2
"52",1,1,1,1,3,1,1,3,4,4,1,5,5,4,4,5,2,5,1,5
"53",4,3,2,3,3,4,3,2,3,3,2,2,5,4,3,2,1,3,2,2
"54",4,4,1,4,4,4,1,2,4,1,1,2,4,1,4,4,5,2,2,4
"55",3,3,1,3,4,4,2,4,2,1,1,2,4,4,4,4,4,4,4,2
"56",1,2,1,1,2,2,1,5,5,1,5,1,4,2,4,2,5,4,2,2
"57",1,3,1,4,1,1,1,3,4,1,1,1,5,3,4,3,5,5,4,4
"58",1,2,1,2,5,4,5,5,4,1,1,2,4,3,4,3,5,4,4,4
"59",2,2,1,1,4,2,1,5,4,1,1,1,4,2,5,2,4,4,2,2
"60",3,4,1,3,4,4,1,4,2,1,1,2,4,2,4,4,4,2,4,4
"61",2,1,1,2,4,3,2,3,5,1,1,2,2,2,3,3,5,3,1,3
"62",5,5,2,2,3,3,5,4,5,1,1,5,5,1,4,2,1,1,4,1
"63",1,2,3,4,5,4,4,2,3,1,4,5,2,1,3,1,4,3,1,4
"64",4,4,3,3,1,3,3,3,3,1,2,2,2,1,2,2,2,5,4,2
"65",4,4,2,3,2,2,2,3,3,2,2,3,2,4,3,4,4,4,3,3
"66",2,3,1,2,2,4,1,4,4,1,1,2,4,2,3,4,5,5,2,3
